X.locale,Address.City,Address.County,Address.FormattedAddress,Address.IntersectionDescription,Address.Latitude,Address.Longitude,Address.Subdivision,LocationMilestones.OpenDate,Market,Name,Store.StoreDistrictID,Store.StoreGroupID
en-US,Oxford,Calhoun,"400 Oxford Exchange Blvd, Oxford, AL 36203-3459",SEC I-20 & Golden Creek Rd,33.608825,-85.783182,AL,2006-07-19T12:00:00,ESE,Oxford,340,394
en-US,Opelika,Lee,"2640 Enterprise Dr, Opelika, AL 36801-1511",NWC I-85 & Hwy 280,32.618108,-85.410636,AL,2005-07-20T12:00:00,ESE,Opelika,340,394
en-US,Carrollton,Carroll,"1129 S Park St, Carrollton, GA 30117-4429",NWC US 27 & Hwy 166 Bypass,33.55892,-85.076473,GA,1997-07-23T12:00:00,ESE,Carrollton,336,394
en-US,Newnan,Coweta,"555 Bullsboro Dr, Newnan, GA 30265-1045",SWC I-85 & Rte 34,33.392907,-84.758875,GA,1999-10-06T12:00:00,ESE,Newnan,336,394
en-US,Columbus,Muscogee,"1591 Bradley Park Dr, Columbus, GA 31904-3071",NEC Bradley Pk & JR Allen Pkwy,32.534649,-84.971073,GA,1999-03-03T12:00:00,ESE,Columbus,340,394
en-US,Peachtree City,Fayette,"1209 Peachtree Pkwy N, Peachtree City, GA 30269-1743",SEC Hwy 74 & Peachtree Pkwy,33.436865,-84.590146,GA,2006-07-19T12:00:00,ESE,Peachtree City,336,394
en-US,Montgomery,Montgomery,"2576 Berryhill Rd, Montgomery, AL 36117-3564",SEC I-85 & Taylor Rd,32.360305,-86.16067,AL,2003-10-08T12:00:00,ESE,Montgomery,340,394
en-US,Douglasville,Douglas,"2950 Chapel Hill Rd, Douglasville, GA 30135-1708",SEC Chapel Hill & Timber Ridge,33.726106,-84.735376,GA,1998-10-07T12:00:00,ESE,Douglasville,336,394
en-US,Prattville,Elmore,"2754 Legends Pkwy, Prattville, AL 36066-7748",SEC Hwy 82 & Cobbs Ford Rd,32.457557,-86.395508,AL,2007-07-25T12:00:00,ESE,Prattville,340,394
en-US,Birmingham,Shelby,"4616 Highway 280, Birmingham, AL 35242-5028",SWC US 280 & River Rd,33.42553,-86.711805,AL,2000-10-04T12:00:00,ESE,Birmingham 280 Corridor,340,394
