X.locale,Address.City,Address.County,Address.FormattedAddress,Address.IntersectionDescription,Address.Latitude,Address.Longitude,Address.Subdivision,ID,IsDaylightSavingsTimeRecognized,LocationMilestones.OpenDate,Market,Name,OperatingHours..timeFormat,Store.StoreDistrictID,Store.StoreGroupID,Store.StoreRegionID,SubTypeDescription,TimeZone.TimeZoneCode,TimeZone.TimeZoneDescription,TimeZone.TimeZoneOffset.OffsetCode,TimeZone.TimeZoneOffset.OffsetHours,TypeCode,PhoneNumber,FaxNumber,BeginTime.MF,Is24Hours.MF,IsOpen.MF,Summary.MF,ThruTime.MF,BeginTime.Sat,Is24Hours.Sat,IsOpen.Sat,Summary.Sat,ThruTime.Sat,BeginTime.Sun,Is24Hours.Sun,IsOpen.Sun,Summary.Sun,ThruTime.Sun
en-US,Oxford,Calhoun,"400 Oxford Exchange Blvd, Oxford, AL 36203-3459",SEC I-20 & Golden Creek Rd,33.608825,-85.783182,AL,2153,TRUE,2006-07-19T12:00:00,ESE,Oxford,12-hour,340,394,300,,CST,Central Std Time,UTC,-6,STR,(256) 231-2900,(256) 231-2910,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00
en-US,Opelika,Lee,"2640 Enterprise Dr, Opelika, AL 36801-1511",NWC I-85 & Hwy 280,32.618108,-85.410636,AL,1499,TRUE,2005-07-20T12:00:00,ESE,Opelika,12-hour,340,394,300,,CST,Central Std Time,UTC,-6,STR,(334) 705-0152,(334) 363-3235,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00
en-US,Carrollton,Carroll,"1129 S Park St, Carrollton, GA 30117-4429",NWC US 27 & Hwy 166 Bypass,33.55892,-85.076473,GA,1073,TRUE,1997-07-23T12:00:00,ESE,Carrollton,12-hour,336,394,300,,EST,Eastern Std Time,UTC,-5,STR,(770) 838-9221,(678) 664-3234,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-9:00 p.m.,21:00:00
en-US,Newnan,Coweta,"555 Bullsboro Dr, Newnan, GA 30265-1045",SWC I-85 & Rte 34,33.392907,-84.758875,GA,1223,TRUE,1999-10-06T12:00:00,ESE,Newnan,12-hour,336,394,300,,EST,Eastern Std Time,UTC,-5,STR,(770) 502-0294,(678) 621-6321,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00
en-US,Columbus,Muscogee,"1591 Bradley Park Dr, Columbus, GA 31904-3071",NEC Bradley Pk & JR Allen Pkwy,32.534649,-84.971073,GA,1179,TRUE,1999-03-03T12:00:00,ESE,Columbus,12-hour,340,394,300,,EST,Eastern Std Time,UTC,-5,STR,(706) 321-0831,(706) 225-5604,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00
en-US,Peachtree City,Fayette,"1209 Peachtree Pkwy N, Peachtree City, GA 30269-1743",SEC Hwy 74 & Peachtree Pkwy,33.436865,-84.590146,GA,2129,TRUE,2006-07-19T12:00:00,ESE,Peachtree City,12-hour,336,394,300,,EST,Eastern Std Time,UTC,-5,STR,(770) 282-2165,(678) 734-3839,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00
en-US,Montgomery,Montgomery,"2576 Berryhill Rd, Montgomery, AL 36117-3564",SEC I-85 & Taylor Rd,32.360305,-86.16067,AL,1825,TRUE,2003-10-08T12:00:00,ESE,Montgomery,12-hour,340,394,300,,CST,Central Std Time,UTC,-6,STR,(334) 356-6265,(334) 523-9794,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00
en-US,Douglasville,Douglas,"2950 Chapel Hill Rd, Douglasville, GA 30135-1708",SEC Chapel Hill & Timber Ridge,33.726106,-84.735376,GA,1172,TRUE,1998-10-07T12:00:00,ESE,Douglasville,12-hour,336,394,300,,EST,Eastern Std Time,UTC,-5,STR,(770) 947-5303,(770) 250-4101,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00
en-US,Prattville,Elmore,"2754 Legends Pkwy, Prattville, AL 36066-7748",SEC Hwy 82 & Cobbs Ford Rd,32.457557,-86.395508,AL,2274,TRUE,2007-07-25T12:00:00,ESE,Prattville,12-hour,340,394,300,,CST,Central Std Time,UTC,-6,STR,(334) 290-6000,(334) 290-6010,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-9:00 p.m.,21:00:00
en-US,Birmingham,Shelby,"4616 Highway 280, Birmingham, AL 35242-5028",SWC US 280 & River Rd,33.42553,-86.711805,AL,1772,TRUE,2000-10-04T12:00:00,ESE,Birmingham 280 Corridor,12-hour,340,394,300,SuperTarget,CST,Central Std Time,UTC,-6,STR,(205) 408-7687,(205) 578-5170,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00
en-US,Fayetteville,Fayette,"107 Pavilion Pkwy, Fayetteville, GA 30214-4098",NWC Pavilion Pkwy & State 85,33.481744,-84.438531,GA,778,TRUE,1995-10-04T12:00:00,ESE,Fayetteville,12-hour,336,394,300,,EST,Eastern Std Time,UTC,-5,STR,(770) 719-9766,(678) 734-9930,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-9:00 p.m.,21:00:00
en-US,Birmingham,Jefferson,"1654 Gadsden Hwy, Birmingham, AL 35235-3104",NEC Gadsden Hwy & Morris Spg Ln,33.60526,-86.636743,AL,1773,TRUE,2000-10-04T12:00:00,ESE,Trussville,12-hour,340,394,300,SuperTarget,CST,Central Std Time,UTC,-6,STR,(205) 655-6950,(205) 661-8157,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-11:00 p.m.,23:00:00,8:00:00,FALSE,TRUE,8:00 a.m.-10:00 p.m.,22:00:00
